Id,Category
0,Alicia Vikander
1,Bill O Reilly
2,Adrien Brody
3,Adriana Barraza
4,Albert Brooks
5,Aaron Taylor-Johnson
6,Amber Heard
7,Adele
8,Ava Gardner
9,Alex Pettyfer
10,Anna Faris
11,Anthony Perkins
12,Bill Hader
13,Barabara Palvin
14,Benjamin Bratt
15,Ashley Greene
16,Alessandra Ambrosio
17,Bill Pullman
18,Adele
19,Anderson Cooper
20,Ashley Graham
21,Adriana Barraza
22,Benedict Cumberbatch
23,Adele
24,Ashley Greene
25,Alan Rickman
26,Amanda Peet
27,Ben Johnson
28,Adele
29,Bill Rancic
30,Angela Bassett
31,Ava Gardner
32,Amy Adams
33,Al Pacino
34,Benedict Cumberbatch
35,Andreea Diaconu
36,Andrew Garfield
37,Ashton Kutcher
38,Anna Paquin
39,Alessandra Ambrosio
40,Bill O Reilly
41,bella thorne
42,Bill Daley
43,Anne Baxter
44,Adele
45,Amy Ryan
46,Barbra Streisand
47,Adele
48,Alan Arkin
49,Alessandra Ambrosio
50,Aaron Paul
51,Ava Gardner
52,Ben Stiller
53,Angelina Jolie
54,Anjelica Huston
55,Alice Eve
56,Adele
57,Andrew Lincoln
58,Bill O Reilly
59,Alec Baldwin
60,Anderson Cooper
61,Armin Mueller-Stahl
62,Audrey Tautou
63,Adele
64,Bill Pullman
65,Adele
66,Andreea Diaconu
67,Adele
68,Alexandra Daddario
69,Adele
70,Albert Brooks
71,Art Carney
72,Analeigh Tipton
73,Adele
74,Andrew Garfield
75,Ava Gardner
76,Adele
77,Ben Kingsley
78,Al Roker
79,Anna Friel
80,Anthony Mackie
81,Andreea Diaconu
82,Abigail Breslin
83,Anna Kendrick
84,Ben Kingsley
85,Bill Daley
86,Adriana Lima
87,Angelina Jolie
88,Arnold Schwarzenegger
89,Anthony Mackie
90,Abigail Breslin
91,Benicio Del Toro
92,Amanda Seyfried
93,Billy Bob Thornton
94,Alicia Vikander
95,Adrien Brody
96,Amanda Crew
97,Ben Kingsley
98,Albert Finney
99,Amber Heard
100,Adriana Lima
101,Ben Affleck
102,Ashley Judd
103,Amber Heard
104,Ali Larter
105,Adele
106,Anna Paquin
107,Barabara Palvin
108,Ashley Judd
109,Arnold Schwarzenegger
110,Bella Hadid
111,Amy Adams
112,Ben Johnson
113,Adele
114,Adele
115,Andrew Garfield
116,Bill Rancic
117,Adele
118,Anna Friel
119,Alexander Skarsgard
120,Anne Hathaway
121,Audrey Tautou
122,Aaron Paul
123,Alx James
124,Anthony Hopkins
125,Ali Larter
126,Arnold Schwarzenegger
127,Alice Eve
128,Berenice Bejo
129,Bill Paxton
130,Barbra Streisand
131,Anne Hathaway
132,Adele
133,Adele
134,Arnold Schwarzenegger
135,Adriana Barraza
136,Amanda Peet
137,Albert Finney
138,Andrew Garfield
139,Adriana Barraza
140,Adele
141,Amber Heard
142,Annette Bening
143,Amy Schumer
144,Andy Garcia
145,bella thorne
146,Billy Bob Thornton
147,Ali Larter
148,Adele
149,Aaron Paul
150,Albert Finney
151,Aaron Taylor-Johnson
152,Arnold Schwarzenegger
153,Amanda Seyfried
154,Ben Johnson
155,Adele
156,Anna Paquin
157,Bette Midler
158,Benicio Del Toro
159,Anna Friel
160,Anna Paquin
161,Albert Finney
162,Anna Faris
163,Alex Pettyfer
164,Adele
165,Amy Schumer
166,Adele
167,Andrew Garfield
168,Anthony Mackie
169,Adrianne Palicki
170,Amanda Bynes
171,Alessandra Ambrosio
172,Anna Faris
173,Albert Finney
174,Beyonce Knowles
175,Anna Faris
176,AnnaSophia Robb
177,Amanda Seyfried
178,Anna Kendrick
179,Barbra Streisand
180,Albert Brooks
181,Ali Larter
182,Andrew Lincoln
183,Adele
184,Alexandra Daddario
185,Ben Affleck
186,Anthony Hopkins
187,bella thorne
188,Ava Gardner
189,Andrew Garfield
190,Ali Larter
191,Amanda Bynes
192,Anjelica Huston
193,Anne Bancroft
194,Alicia Vikander
195,Alexis Thorpe
196,Armin Mueller-Stahl
197,Andy Serkis
198,Adele
199,Audrey Hepburn
200,Ashley Greene
201,Annette Bening
202,Antonio Banderas
203,Alessandra Ambrosio
204,Ben Johnson
205,Adele
206,Andy Garcia
207,Adele
208,Betty White
209,Audrey Hepburn
210,Adele
211,Billy Bob Thornton
212,Amanda Bynes
213,Amanda Bynes
214,Aaron Paul
215,Andy Murray
216,Adele
217,Adele
218,Ben Stiller
219,Bill Pullman
220,Anna Paquin
221,Abigail Breslin
222,Bill Daley
223,Adele
224,Angelina Jolie
225,Aaron Judge
226,Anna Kendrick
227,Ali Larter
228,Adele
229,Anna Paquin
230,Albert Brooks
231,Anna Faris
232,Amy Schumer
233,Ben Stiller
234,Ava Gardner
235,Adele
236,Adrianne Palicki
237,Adriana Lima
238,Adele
239,Alessandra Ambrosio
240,Alec Baldwin
241,Anthony Hopkins
242,Adele
243,Adele
244,Adele
245,Amanda Peet
246,Bill Murray
247,Aaron Taylor-Johnson
248,Andrew Luck
249,Benicio Del Toro
250,Adele
251,Arnold Schwarzenegger
252,Adele
253,Angelina Jolie
254,Audrey Tautou
255,Andy Serkis
256,Alan Arkin
257,Ashley Graham
258,Andreea Diaconu
259,Anna Kendrick
260,Alexandra Daddario
261,Ashley Judd
262,Amber Heard
263,Ava Gardner
264,Ashley Greene
265,Alicia Vikander
266,Barabara Palvin
267,Bill O Reilly
